pathway	100seq_sampleA1	100seq_sampleA2	100seq_sampleA3	100seq_sampleB1	100seq_sampleB2	100seq_sampleB3	100seq_sampleC1	100seq_sampleC2	100seq_sampleC3
GALACTARDEG-PWY	0.8115	0.8115	0.8115	0.6505	0.6505	0.6505	1.5692	1.5692	1.5692
GALACTUROCAT-PWY	6.235	6.235	6.235	9.6602	9.6602	9.6602	9.2168	9.2168	9.2168
GALLATE-DEGRADATION-I-PWY	0.0	0.0	0.0	0.0	0.0	0.0	13.2453	13.2453	13.2453
GALLATE-DEGRADATION-II-PWY	0.0	0.0	0.0	0.0	0.0	0.0	13.2453	13.2453	13.2453
GLCMANNANAUT-PWY	2.7859	2.7859	2.7859	0.9874	0.9874	0.9874	9.6362	9.6362	9.6362
GLUCARDEG-PWY	2.244	2.244	2.244	0.8161	0.8161	0.8161	3.5656	3.5656	3.5656
GLUCARGALACTSUPER-PWY	0.8115	0.8115	0.8115	0.6505	0.6505	0.6505	1.5692	1.5692	1.5692
GLUCONEO-PWY	68.8581	68.8581	68.8581	57.1673	57.1673	57.1673	76.8292	76.8292	76.8292
GLUCOSE1PMETAB-PWY	3.8087	3.8087	3.8087	0.9961	0.9961	0.9961	5.3845	5.3845	5.3845
GLUCUROCAT-PWY	5.6544	5.6544	5.6544	4.1981	4.1981	4.1981	8.8242	8.8242	8.8242
GLUTORN-PWY	39.9858	39.9858	39.9858	81.2463	81.2463	81.2463	87.1728	87.1728	87.1728
GLYCOCAT-PWY	21.3065	21.3065	21.3065	43.6629	43.6629	43.6629	58.4474	58.4474	58.4474
GLYCOGENSYNTH-PWY	17.8187	17.8187	17.8187	73.6409	73.6409	73.6409	66.1762	66.1762	66.1762
GLYCOL-GLYOXDEG-PWY	1.7274	1.7274	1.7274	2.7969	2.7969	2.7969	0.0	0.0	0.0
GLYCOLYSIS	64.2815	64.2815	64.2815	76.3101	76.3101	76.3101	76.4901	76.4901	76.4901
GLYCOLYSIS-E-D	27.9281	27.9281	27.9281	50.0413	50.0413	50.0413	49.0068	49.0068	49.0068
GLYCOLYSIS-TCA-GLYOX-BYPASS	48.609	48.609	48.609	35.4449	35.4449	35.4449	33.4764	33.4764	33.4764
GLYOXYLATE-BYPASS	23.0381	23.0381	23.0381	16.9296	16.9296	16.9296	40.5546	40.5546	40.5546
GOLPDLCAT-PWY	2.7586	2.7586	2.7586	0.0	0.0	0.0	0.0	0.0	0.0
HCAMHPDEG-PWY	0.0	0.0	0.0	0.0	0.0	0.0	1.4684	1.4684	1.4684
HEME-BIOSYNTHESIS-II	53.5888	53.5888	53.5888	25.4342	25.4342	25.4342	26.5882	26.5882	26.5882
HEMESYN2-PWY	69.7219	69.7219	69.7219	39.3522	39.3522	39.3522	43.9707	43.9707	43.9707
HEXITOLDEGSUPER-PWY	9.5861	9.5861	9.5861	10.3572	10.3572	10.3572	9.427	9.427	9.427
HISDEG-PWY	47.2079	47.2079	47.2079	19.4066	19.4066	19.4066	32.9518	32.9518	32.9518
HISTSYN-PWY	70.2916	70.2916	70.2916	78.4648	78.4648	78.4648	88.5237	88.5237	88.5237
HOMOSER-METSYN-PWY	44.651	44.651	44.651	59.9687	59.9687	59.9687	40.8899	40.8899	40.8899
HSERMETANA-PWY	32.9303	32.9303	32.9303	74.1422	74.1422	74.1422	118.8195	118.8195	118.8195
ILEUSYN-PWY	90.8026	90.8026	90.8026	101.9565	101.9565	101.9565	127.6336	127.6336	127.6336
KDO-NAGLIPASYN-PWY	0.0	0.0	0.0	6.5871	6.5871	6.5871	0.0	0.0	0.0
KETOGLUCONMET-PWY	0.0	0.0	0.0	1.4344	1.4344	1.4344	0.0	0.0	0.0
LACTOSECAT-PWY	1.5	1.5	1.5	0.708	0.708	0.708	2.9365	2.9365	2.9365
LEU-DEG2-PWY	19.0439	19.0439	19.0439	25.7825	25.7825	25.7825	24.0148	24.0148	24.0148
MET-SAM-PWY	59.3313	59.3313	59.3313	72.9445	72.9445	72.9445	59.1922	59.1922	59.1922
METH-ACETATE-PWY	11.931	11.931	11.931	5.1186	5.1186	5.1186	0.0	0.0	0.0
METHYLGALLATE-DEGRADATION-PWY	0.0	0.0	0.0	0.0	0.0	0.0	15.8846	15.8846	15.8846
