#id	sampleA_R1
ERR619083.M00704:57:000000000-A5HJE:1:1101:9214:5283.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:16386:3710.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:6845:8644.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:22557:9933.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:22772:9103.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:5468:8050.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:6510:8561.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:20717:8076.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:9296:5697.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:8570:8318.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:3897:9878.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:22638:8932.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:6085:9304.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:7214:10416.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:16918:5450.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:7534:8763.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:3563:10301.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:17587:4049.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:18736:9914.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:17693:4842.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:13357:5445.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:16391:5663.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:8380:9837.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:17383:9565.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:12820:3766.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:20050:9910.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:10253:6688.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:16235:3971.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:11507:5718.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:8190:8634.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:11427:7998.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:11243:9330.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:8124:7711.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:14020:8782.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:14621:3559.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:22126:3996.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:19016:8050.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:6460:9443.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:19184:7440.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:25217:10080.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:10865:5941.1	2
ERR619083.M00704:57:000000000-A5HJE:1:1101:4587:8698.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:13623:10426.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:12249:3811.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:9002:6197.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:24619:9194.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:9208:8499.1	1
