#id	sampleA_R1	sampleB_R1
ERR619083.M00704:57:000000000-A5HJE:1:2113:8926:12325.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2105:23032:17300.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:20136:15930.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2108:21109:7498.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2104:8385:12628.1	2	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:25496:17404.1	2	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:18760:16604.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2101:21580:21993.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2107:3000:11335.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2109:16540:14655.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2112:23655:19611.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:17443:11485.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1104:18871:13313.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2107:11167:22762.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2104:7821:12036.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2101:12925:15253.1	2	0
ERR619083.M00704:57:000000000-A5HJE:1:2109:24576:6277.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2113:15278:4862.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:8528:8416.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:13206:16958.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2112:24445:6428.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2113:7006:24022.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:9537:23922.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:17609:24090.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1104:8161:9821.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2113:8689:18326.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2109:13131:21772.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2109:12770:12149.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2109:9035:18937.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2111:6520:8741.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:11878:21687.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2108:19793:17193.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:15612:17161.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:23462:12552.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2112:18021:21759.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2110:24363:9822.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2109:12722:22985.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2112:8785:9110.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:8480:16360.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:10478:16802.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2113:13201:3918.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2112:5092:10778.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2110:25589:13374.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:17210:7973.1	1	0
