#seed_id	observation_name	observation_sum	sampleA_R1	sampleB_R1
ERR619083.M00704:57:000000000-A5HJE:1:2104:6238:24703.1	Cluster_146	16	16	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:26082:13338.1	Cluster_147	20	20	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:10615:4313.1	Cluster_148	11	11	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:13845:18284.1	Cluster_149	8	8	0
ERR619083.M00704:57:000000000-A5HJE:1:2101:20804:10788.1	Cluster_150	20	20	0
ERR619083.M00704:57:000000000-A5HJE:1:2105:23730:7904.1	Cluster_151	10	10	0
ERR619083.M00704:57:000000000-A5HJE:1:2104:18964:23581.1	Cluster_152	18	18	0
ERR619083.M00704:57:000000000-A5HJE:1:1104:23255:12415.1	Cluster_153	10	10	0
ERR619083.M00704:57:000000000-A5HJE:1:2104:24763:25121.1	Cluster_154	18	18	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:12930:24946.1	Cluster_155	31	31	0
ERR619083.M00704:57:000000000-A5HJE:1:2113:11187:10642.1	Cluster_156	15	15	0
ERR619083.M00704:57:000000000-A5HJE:1:2105:5024:16817.1	Cluster_157	9	9	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:13278:21988.1	Cluster_158	8	8	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:12484:18988.1	Cluster_159	8	8	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:21829:18112.1	Cluster_160	8	8	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:22885:22858.1	Cluster_161	9	9	0
ERR619083.M00704:57:000000000-A5HJE:1:2107:15729:26929.1	Cluster_162	22	22	0
ERR619083.M00704:57:000000000-A5HJE:1:2111:7452:7196.1	Cluster_163	26	26	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:14565:9460.1	Cluster_164	8	8	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:4209:11192.1	Cluster_165	16	16	0
ERR619083.M00704:57:000000000-A5HJE:1:2104:17839:20813.1	Cluster_166	14	14	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:26998:8334.1	Cluster_167	10	10	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:5530:17576.1	Cluster_168	11	11	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:10540:16924.1	Cluster_169	11	11	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:20496:16578.1	Cluster_170	9	9	0
ERR619083.M00704:57:000000000-A5HJE:1:2107:8024:15468.1	Cluster_171	8	8	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:11135:4263.1	Cluster_172	9	9	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:7441:17298.1	Cluster_173	33	33	0
